springgreen
salmon
midnightblue
mediumseagreen
thistle
lightslategray
khaki
lightgray
coral
darkgray
silver
steelblue
lavenderblush
lightpink
white
darkolivegreen
lightcyan
lightblue
turquoise
lightgreen
lightgoldenrod
darkmagenta
blue
darkslategray
wheat
palegreen
ivory
cornsilk
darkslateblue
blueviolet
purple
powderblue
pink
darkorange
orange
papayawhip
peru
seashell
aliceblue
lemonchiffon
goldenrod
skyblue
maroon
navy
violet
burlywood
crimson
beige
lightsteelblue
tomato
chartreuse
royalblue
gray
darkgoldenrod
darkorchid
deeppink
honeydew
orangered
forestgreen
darkturquoise
firebrick
greenyellow
indianred
olivedrab
darkblue
peachpuff
lime
mintcream
cyan
limegreen
hotpink
mediumslateblue
moccasin
darkkhaki
deepskyblue
magenta
yellowgreen
lawngreen
slateblue
mediumspringgreen
snow
red
orchid
indigo
mistyrose
chocolate
navajowhite
cornflowerblue
lightgoldenrodyellow
gainsboro
mediumblue
mediumorchid
linen
aquamarine
palevioletred
mediumvioletred
lightyellow
violetred
darksalmon
olive
lavender
slategray
ghostwhite
seagreen
brown
antiquewhite
darkcyan
darkseagreen
lightsalmon
mediumaquamarine
lightseagreen
gold
darkred
bisque
darkgreen
azure
dimgray
black
dodgerblue
oldlace
lightskyblue
mediumpurple
sandybrown
tan
yellow
floralwhite
lightslateblue
cadetblue
plum
blanchedalmond
sienna
palegoldenrod
darkviolet
green
whitesmoke
mediumturquoise
saddlebrown
lightcoral
rosybrown
paleturquoise
